SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME,LAT,LON,web_id,batt%
PI040298AD5I211649,B17C,iKNUqeXmzO1564386047452,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1396425432979,-8.63560648468544,ALG_VDL_TN15*-B17C,100
PI040298AD5I212943,0590,heQFfVxSDq1564254251361,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1401211486922,-8.63053767733988,ALG_VDL_FR02•0590,100
PI040298AD5I208350,6A22,FDCtY3Myk01534956289457,2019-05-01 07:40:53,2019-07-30 07:40:53,37.0720011536534,-8.77515150648126,Burgau2-6a22,57
PI040298AD5I211153,5B79,VJOPU3cokL1557129727715,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404092832598,-8.63535220628082,ALG_VDL_MN35*-5B79,77
,,,,,,,,
