SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME,LAT,LON,web_id,batt_%,first_soilMes,last_soilMes,nNAs_soilMes,NAsRatio_soilMes,notes
PI040298AD5I213286,1087,TKSNLEnHnB1553682376455,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1393067668847,-8.63542673877151,ALG_VDL_TN05*-1087,68,2019-03-27 10:45:00,2019-07-28 18:30:00,95,0.0079624507585282,
PI040298AD5I209329,983A,FJxIP0Z0VK1533051680469,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1394273161197,-8.63513556594081,ALG_VDL_Tn06-983A,100,2018-08-17 12:15:00,2019-07-28 18:30:00,95,0.00285791642850696,
PI040298AD5I212626,B122,adwDxe45pb1553683273282,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1391440334598,-8.6355722852715,ALG_VDL_TN07*-B122,69,2019-03-27 11:00:00,2019-07-28 18:30:00,95,0.00796311818943839,
PI040298AD5I208794,6791,jw8QLULVYM1533058244803,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1396613140618,-8.63481873756822,ALG_VDL_Tn17-6791,100,2018-08-17 12:15:00,2019-07-28 19:00:00,96,0.00288799975933335,
PI040298AD5I208783,671D,J4U3lKlFOa1533049255044,2019-05-01 07:40:53,2019-07-30 07:40:53,37.139137185661,-8.63520334506922,ALG_VDL_Tn02-6710,100,2018-08-17 12:15:00,2019-07-28 18:30:00,100,0.00300833308263891,
PI040298AD5I211625,56EB,8X7EWhUx8i1553618904028,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1392348650421,-8.63334486488551,ALG_VDL_Ss13*-56EB,65,2019-03-26 17:00:00,2019-07-28 16:45:00,102,0.0084985835694051,
PI040298AD5I211152,5A23,xm3fSYwseM1554048306140,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1390207163054,-8.63201195618469,ALG_VDL_SS57-*5A23,70,2019-04-10 15:30:00,2019-07-29 17:45:00,116,0.0109723798713583,
PI040298AD5I211031,2E26,3th6MKTFWB1535217877515,2019-05-01 07:40:53,2019-07-30 07:40:53,37.13919749,-8.632476144,ALG_VDL_SS40-2E26,100,2018-08-25 18:45:00,2019-07-29 17:45:00,132,0.00406817271242334,0:0
PI040298AD5G200484,BC31,AWAUJIhxHA1552661375562,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1387717754363,-8.63256201878418,ALG_VDL_SB04-BC31,66,2019-03-15 15:00:00,2019-07-28 09:00:00,133,0.0101790907699372,
PI040298AD5G201927,0B9D,3JQFhVSTzU1553680202391,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1385435042446,-8.63543388355283,ALG_VDL_TS02*-0B9D,54,2019-03-27 10:00:00,2019-07-28 09:00:00,133,0.0111446287916876,
