LAT,LON,SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME
0.0,0.0,PI040298AD5I210909,63D4,LnzPLFh4Jl1535217493479,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1392320114255,-8.63343243218945,PI040298AD5I212667,249F,15VPzoVR991535190110536,2018-10-12 12:46:00,2019-01-10 12:46:00
0.0,0.0,PI040298AD5I213170,0564,or2Co8W8C61535299808350,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1397003975766,-8.63259927053273,PI040298AD5I211628,4BEA,KVywlIN6BC1535216699421,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1395966152931,-8.63483458349286,PI040298AD5I211397,9592,0FgVQljsFg1533054246260,2018-10-12 12:46:00,2019-01-10 12:46:00
0.0,0.0,PI040298AD5I213018,3120,ciigV4Z3Uf1535277546589,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1399404598272,-8.63176123132114,PI040298AD5I214023,5C9B,8JTf8eDMhu1535470333956,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1384628549096,-8.63428816787675,PI040298AD5I208428,65C0,MoKTE7kpBl1535456972621,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1392071909022,-8.63173371516953,PI040298AD5I211458,A003,ZSSob2wl7N1535221323215,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1398214785198,-8.63214084208383,PI040298AD5I212562,0808,kb5zTZkY401535219454442,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1393255453694,-8.63201479911053,PI040298AD5I211329,A06F,b9y2LYwYn51535218609246,2018-10-12 12:46:00,2019-01-10 12:46:00
37.139391302219,-8.63293890035322,PI040298AD5I214031,5FB5,o1h1i4QP8e1535193367948,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1391308108068,-8.63339052842582,PI040298AD5I213126,632D,3gv8CwiSgl1535190867317,2018-10-12 12:46:00,2019-01-10 12:46:00
